city,date_time,temperature,humidity,pressure,wind_speed,rainfall,weather_code,latitude,longitude
Bahawalpur,2024-12-20 20:00:00,10.9,74,1002.6,7.3,0.0,0,29.3956,71.6836
Dadu,2025-11-07 22:00:00,18.0,55,1009.7,5.2,0.0,0,26.7319,67.775
Mandi Bahauddin,2024-05-17 01:00:00,26.8,35,978.4,12.4,0.0,1,32.5861,73.4917
Dir,2024-01-07 23:00:00,0.0,52,858.6,4.3,0.0,0,35.2058,71.8767
Kotli,2024-08-23 04:00:00,22.4,92,937.4,5.1,0.0,0,33.5184,73.9022
Mirpur Khas,2025-02-20 13:00:00,28.9,34,1010.6,4.4,0.0,0,25.5251,69.0159
Tando Adam,2024-05-29 04:00:00,29.6,61,991.3,16.8,0.0,0,25.7687,68.6617
Rahim Yar Khan,2024-05-19 11:00:00,43.4,13,992.2,20.7,0.0,1,28.4202,70.2952
Bagh,2024-07-20 20:00:00,14.3,75,704.6,2.9,0.0,0,33.9861,73.9478
Karachi,2025-07-16 14:00:00,32.0,62,998.6,16.3,0.0,1,24.8607,67.0011
Mastung,2025-05-08 05:00:00,15.7,60,829.5,7.9,0.0,1,29.7997,66.8455
Lodhran,2024-10-16 15:00:00,37.0,21,992.1,18.6,0.0,3,29.5405,71.6336
Chiniot,2025-02-16 09:00:00,16.7,70,991.1,5.2,0.0,3,31.72,72.9789
Chilas,2025-07-01 03:00:00,26.8,53,876.4,2.0,0.0,0,35.4206,74.0967
Bhimber,2024-05-23 12:00:00,38.0,27,967.1,22.7,0.0,0,32.9747,74.078
Muridke,2025-03-22 09:00:00,22.1,59,988.6,3.8,0.0,0,31.802,74.257
Zhob,2025-11-19 01:00:00,11.1,25,860.6,1.5,0.0,0,31.3417,69.4486
Khanewal,2024-01-23 15:00:00,15.4,61,1001.4,7.6,0.0,0,30.3017,71.9321
Nushki,2025-03-23 22:00:00,24.8,12,904.6,14.1,0.0,2,29.5522,66.0225
Ormara,2024-02-21 18:00:00,24.7,56,1009.8,21.6,0.0,0,25.2088,64.6357
Kasur,2025-07-26 10:00:00,32.6,69,974.4,6.1,0.0,0,31.115,74.4467
